modismo,modelo,precision,recall,f1_score,definicion_real,definicion_sinonimo
abajeño,Amazon_Nova_Micro_V1,0.3436230719089508,0.36842411756515503,0.35559165477752686,Propio o nativo de las costas o de las tierras bajas.,"Personas que viven en la ciudad de cartago, departamento del valle del cauca."
abalear,Amazon_Nova_Micro_V1,0.6317523121833801,0.5947936773300171,0.6127161383628845,Disparar a alguien o a algo de manera repetida con un arma de fuego.,Acción de disparar armas de fuego hacia un objetivo.
abaleo,Amazon_Nova_Micro_V1,0.5214890837669373,0.4572941064834595,0.48728641867637634,Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,Sonido intenso y desordenado.
abanicar,Amazon_Nova_Micro_V1,0.6482256054878235,0.5953329205513,0.6206544041633606,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",No conectar con el lanzamiento del lanzador al intentar golpear con el bate.
abanico,Amazon_Nova_Micro_V1,0.6603929400444031,0.6472459435462952,0.6537533402442932,Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,Dispositivo que ayuda a circular el aire para refrescar un espacio.
abarco,Amazon_Nova_Micro_V1,0.5912706851959229,0.5224992036819458,0.5547617673873901,"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.","Madera obtenida del árbol ceiba, que ha disminuido debido a su deforestación."
abarrotes,Amazon_Nova_Micro_V1,0.47644180059432983,0.4944431781768799,0.48527559638023376,Víveres de consumo diario.,Artículos de primera necesidad como alimentos y suministros cotidianos.
abeja,Amazon_Nova_Micro_V1,0.480209082365036,0.47087931632995605,0.4754984378814697,Ser hábil o astuto para salir bien librado de situaciones complicadas.,Individuo que siempre prepara y conoce detalladamente su camino o plan.
abejorrear,Amazon_Nova_Micro_V1,0.5767212510108948,0.575761079788208,0.5762408375740051,Manosear lujuriosamente a alguien en público.,Acosar o incomodar a alguien de manera persistente.
abismante,Amazon_Nova_Micro_V1,0.4267328977584839,0.4478946328163147,0.4370577335357666,"Referido a alguien o a algo, que es sorprendente o muy notorio.",Aumento muy acelerado y significativo en el poder adquisitivo.
abombado,Amazon_Nova_Micro_V1,0.4830772578716278,0.5101958513259888,0.49626633524894714,"Referido a un alimento, que está descompuesto.",Contenido con burbujas de gas que lo hacen sobresalir o hinchar.
aborrajado,Amazon_Nova_Micro_V1,0.6029348969459534,0.6495453119277954,0.6253727674484253,"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.","Plato preparado con aguacate, carne y otros ingredientes, típico de la región vallecaucana."
abotar,Amazon_Nova_Micro_V1,0.44773775339126587,0.4048478603363037,0.4252139925956726,Ubicarse alguien o algo en la orilla del río o la acera.,Parar de inmediato para evitar un peligro.
abozao,Amazon_Nova_Micro_V1,0.5822704434394836,0.5008015036582947,0.5384719371795654,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,Una forma tradicional de baile originario del Pacífico colombiano.
abrebocas,Amazon_Nova_Micro_V1,0.475801020860672,0.4560229778289795,0.4657021164894104,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,Comienzo o presentación que atrae y prepara para lo que sigue.
abrigar,Amazon_Nova_Micro_V1,0.40648847818374634,0.3698154389858246,0.3872857391834259,Calentar los alimentos en la estufa.,Añadir ingredientes para mejorar el sabor de la comida.
abrirse,Amazon_Nova_Micro_V1,0.30905333161354065,0.31375861167907715,0.311388224363327,Irse de un lugar.,Comunicar la verdad sin ocultar o engañar.
