modismo,modelo,precision,recall,f1_score,definicion_real,definicion_generada
abajeño,Amazon_Nova_Micro_V1,0.35074034333229065,0.38902518153190613,0.3688920736312866,Propio o nativo de las costas o de las tierras bajas.,"Persona originaria de la región de Bajo Cauca, Antioquia."
abalear,Amazon_Nova_Micro_V1,0.561280369758606,0.536277711391449,0.548494279384613,Disparar a alguien o a algo de manera repetida con un arma de fuego.,Insistir en algo de manera insistente y a veces molesta.
abaleo,Amazon_Nova_Micro_V1,0.4753735661506653,0.46324652433395386,0.4692317247390747,Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,Acción de moverse o balancearse de forma exagerada.
abanicar,Amazon_Nova_Micro_V1,0.4821135699748993,0.40918129682540894,0.4426635205745697,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",Influir o convencer a alguien para que tome una determinada acción.
abanico,Amazon_Nova_Micro_V1,0.4680626094341278,0.4530735909938812,0.46044614911079407,Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,Modismo que indica una situación muy complicada o difícil de resolver.
abarco,Amazon_Nova_Micro_V1,0.3287976086139679,0.31102803349494934,0.3196660876274109,"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.",Incluir o abarcar una situación completa o todos los aspectos.
abarrotes,Amazon_Nova_Micro_V1,0.4618436098098755,0.4585627317428589,0.4601973295211792,Víveres de consumo diario.,Tiendas pequeñas que venden alimentos y artículos de primera necesidad.
abeja,Amazon_Nova_Micro_V1,0.43622422218322754,0.41248682141304016,0.4240235686302185,Ser hábil o astuto para salir bien librado de situaciones complicadas.,"Persona que trabaja incansablemente, como una abeja."
abejorrear,Amazon_Nova_Micro_V1,0.4221375584602356,0.4209076762199402,0.42152172327041626,Manosear lujuriosamente a alguien en público.,"Comportarse en forma molesta o fastidiosa, como una abeja."
abismante,Amazon_Nova_Micro_V1,0.5318876504898071,0.5557133555412292,0.5435395836830139,"Referido a alguien o a algo, que es sorprendente o muy notorio.",Sorprende o deja boquiabierto por su magnitud o extrañeza.
abombado,Amazon_Nova_Micro_V1,0.46435266733169556,0.47519785165786743,0.46971267461776733,"Referido a un alimento, que está descompuesto.","Tener algo excesivamente grande o prominente, usualmente en referencia a la ropa."
aborrajado,Amazon_Nova_Micro_V1,0.3950292468070984,0.36026328802108765,0.3768461346626282,"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.",Persona que está muy cansada o agotada.
abotar,Amazon_Nova_Micro_V1,0.46156468987464905,0.47354137897491455,0.46747633814811707,Ubicarse alguien o algo en la orilla del río o la acera.,Terminar en una situación sin salida o fracasar en un intento.
abozao,Amazon_Nova_Micro_V1,0.43568068742752075,0.41662710905075073,0.4259409010410309,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,"Persona que tiene demasiada confianza en sus habilidades, a veces exagerada."
abrebocas,Amazon_Nova_Micro_V1,0.5103442072868347,0.47334998846054077,0.49115148186683655,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,Comienzo o introducción que prepara para algo más importante.
abrigar,Amazon_Nova_Micro_V1,0.4210709035396576,0.5026610493659973,0.45826271176338196,Calentar los alimentos en la estufa.,Cubrir o proteger a alguien o algo para mantenerlo caliente.
abrirse,Amazon_Nova_Micro_V1,0.3855201303958893,0.4010559618473053,0.39313462376594543,Irse de un lugar.,Comenzar a participar o involucrarse en algo nuevo.
abrochar,Amazon_Nova_Micro_V1,0.3989824950695038,0.4421641230583191,0.41946491599082947,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,"Terminar o concluir algo definitivamente, como si se abrochara un botón."
abuelita,Amazon_Nova_Micro_V1,0.45230811834335327,0.45208507776260376,0.45219656825065613,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,"Término cariñoso para referirse a una persona mayor, especialmente una mujer."
abullonado,Amazon_Nova_Micro_V1,0.4669037163257599,0.40221595764160156,0.43215253949165344,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",Persona que está muy ocupada o ajetreada.
aburria,Amazon_Nova_Micro_V1,0.2941545248031616,0.3006407916545868,0.2973622977733612,"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",Actitud de aburrirse o mostrarse desinteresado en algo.
aburrición,Amazon_Nova_Micro_V1,0.5545213222503662,0.5459486842155457,0.5502015948295593,Cosa o situación que produce pereza o falta de interés.,Estado de aburrimiento o falta de interés en algo.
acabado,Amazon_Nova_Micro_V1,0.43327346444129944,0.4331812858581543,0.4332273602485657,"Referido a una persona, con aspecto débil y enfermizo.","Terminar o finalizar algo, o quedarse sin algo."
acabarropa,Amazon_Nova_Micro_V1,0.5659294128417969,0.5660234093666077,0.5659764409065247,"Referido a una persona, holgazán.",Reunir o acumular cosas en desorden.
acabose,Amazon_Nova_Micro_V1,0.5888310670852661,0.5197479128837585,0.552137017250061,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,Situación irremediable o sin esperanza.
acartonado,Amazon_Nova_Micro_V1,0.6275039315223694,0.5876182317733765,0.6069064140319824,"Referido a una persona, poco natural en su comportamiento, esquemática.",Persona que está muy seria o que no tiene alegría.
acatar,Amazon_Nova_Micro_V1,0.45485788583755493,0.4503844678401947,0.4526101350784302,Caer en cuenta de algo.,Aceptar y cumplir una decisión o exigencia impuesta.
accesar,Amazon_Nova_Micro_V1,0.6995779275894165,0.7149841785430908,0.7071971893310547,Tener acceso a los datos de un sistema informático.,"Ingresar o acceder a un lugar o sistema, especialmente tecnológico."
aceite,Amazon_Nova_Micro_V1,0.5449846982955933,0.48294681310653687,0.512093722820282,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Expresión para indicar que algo es falso o no auténtico.
acelerado,Amazon_Nova_Micro_V1,0.49225327372550964,0.47399693727493286,0.48295265436172485,"Referido a una persona, que actúa con precipitud, impaciencia.","Desarrollo rápido y sin pausa, a toda velocidad."
acelere,Amazon_Nova_Micro_V1,0.5688355565071106,0.5528082847595215,0.5607074499130249,Afán o rapidez exagerada con que se hace algo.,Insistir o presionar para que algo avance más rápido.
acema,Amazon_Nova_Micro_V1,0.3830634653568268,0.3253629207611084,0.35186338424682617,"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.",Actitud de desinterés o falta de compromiso en una situación.
acerola,Amazon_Nova_Micro_V1,0.5775238871574402,0.5287690162658691,0.5520721077919006,"Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.","Fruta pequeña y ácida, rica en vitamina C, nativa de América tropical."
achacado,Amazon_Nova_Micro_V1,0.5945610404014587,0.5866571664810181,0.5905826687812805,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",Persona que está cansada o agotada por exceso de trabajo.
achajuanado,Amazon_Nova_Micro_V1,0.5131581425666809,0.5287311673164368,0.5208282470703125,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",Persona muy aprensiva o que se preocupa excesivamente por cualquier cosa.
achantada,Amazon_Nova_Micro_V1,0.535642147064209,0.5786586999893188,0.5563201308250427,"Depresión, abatimiento.",Estado de alguien que está triste o desanimado.
achantado,Amazon_Nova_Micro_V1,0.5559087991714478,0.5248779058456421,0.5399479269981384,"Referdio a una persona, triste, desencantado.",Persona que está muy asustada o intimidada.
achantar,Amazon_Nova_Micro_V1,0.544034481048584,0.5722510814666748,0.5577861666679382,Desalentar o hacer perder el ánimo.,Intimidar o asustar a alguien para que ceda.
achante,Amazon_Nova_Micro_V1,0.3706029951572418,0.4177871346473694,0.39278310537338257,"Depresión, abatimiento.",Persona que provoca o molesta a otros de manera insistente.
achapado,Amazon_Nova_Micro_V1,0.5341070890426636,0.5666823983192444,0.549912691116333,"Referido a una persona, avara, tacaña.",Persona que está muy aburrida o sin nada que hacer.
achicar,Amazon_Nova_Micro_V1,0.40695735812187195,0.3872588276863098,0.39686381816864014,Extraer el agua que se mete en las embarcaciones al navegar.,Reducir el tamaño o cantidad de algo.
achicharrar,Amazon_Nova_Micro_V1,0.3674861788749695,0.38028010725975037,0.3737736940383911,Tostar demasiado o quemar algo.,"Terminar algo completamente, como si se quemara a fuego."
achicopalado,Amazon_Nova_Micro_V1,0.49459511041641235,0.5373450517654419,0.5150845646858215,"Referido a una persona, triste, desencantado.",Persona acomodada que presume de su riqueza o estatus social.
achicopalar,Amazon_Nova_Micro_V1,0.43735918402671814,0.4432319700717926,0.44027599692344666,Desalentar o hacer perder el ánimo.,"Reducir o minimizar algo, hacer una cosa más pequeña."
achilado,Amazon_Nova_Micro_V1,0.5477813482284546,0.5078266263008118,0.5270478129386902,"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.","Estado de estar muy cansado, agotado o desanimado."
achilar,Amazon_Nova_Micro_V1,0.3944069743156433,0.3918895125389099,0.3931442201137543,"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.","Reducir o acortar algo, especialmente en términos de tiempo."
achiote,Amazon_Nova_Micro_V1,0.5313875675201416,0.4807792603969574,0.5048181414604187,"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.","Color anaranjado obtenido de la semilla del achiote, usado en la cocina."
achiquitar,Amazon_Nova_Micro_V1,0.6258562207221985,0.5502152442932129,0.5856032967567444,Hacer que algo sea más pequeño de lo normal.,Reducir o hacer algo más pequeño.
achira,Amazon_Nova_Micro_V1,0.5522335171699524,0.5126597285270691,0.5317112803459167,"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",Planta medicinal tradicionalmente utilizada para aliviar dolores articulares.
achucado,Amazon_Nova_Micro_V1,0.5555131435394287,0.5176607370376587,0.5359193682670593,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",Persona que ha sido estafada o engañada en una transacción.
achucarse,Amazon_Nova_Micro_V1,0.42253315448760986,0.4069996476173401,0.414620965719223,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.",Tomar una decisión arriesgada o asumir una responsabilidad grande.
achín,Amazon_Nova_Micro_V1,0.4135306477546692,0.3523247241973877,0.3804819583892822,"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",Expresión que indica algo muy pequeño o insignificante.
aco,Amazon_Nova_Micro_V1,0.3377019464969635,0.3161618113517761,0.3265770673751831,"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",Actitud de desinterés o despreocupación ante una situación.
acobalar,Amazon_Nova_Micro_V1,0.4058620035648346,0.3701843023300171,0.38720306754112244,Devolver la simetría a algo que estaba torcido.,Confundir o alterar a alguien con palabras o acciones.
acolitar,Amazon_Nova_Micro_V1,0.6999249458312988,0.669247031211853,0.684242308139801,Apoyar a una persona en algún proyecto o idea.,Apoyar o respaldar a alguien en una situación difícil.
acomedirse,Amazon_Nova_Micro_V1,0.579062283039093,0.5808327198028564,0.5799461603164673,Ofrecerse o ponerse al servicio de otro para hacer algo.,Actuar con audacia o atreverse a hacer algo que antes no se intentaba.
acondicionar,Amazon_Nova_Micro_V1,0.5062574148178101,0.46884554624557495,0.486833781003952,"Modificar las características de algo, agregando un implemento que no es original.",Preparar o adaptar algo para un uso específico.
acordeonero,Amazon_Nova_Micro_V1,0.46502166986465454,0.39644402265548706,0.4280032813549042,Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,Persona que se adapta fácilmente a los cambios y situaciones.
acose,Amazon_Nova_Micro_V1,0.556256890296936,0.5441542267799377,0.5501390099525452,Persecusión o presión causada por la insistencia de alguien.,Termino informal que significa estar muy cansado o agotado.
acosón,Amazon_Nova_Micro_V1,0.3983766436576843,0.42922523617744446,0.41322600841522217,"Referido a una persona, que acostumbra presionar a los demás.",Estado de aburrimiento o desgano por falta de actividades interesantes.
acotejar,Amazon_Nova_Micro_V1,0.4677667021751404,0.4589090347290039,0.4632955491542816,"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",Buscar o conseguir algo de manera informal o poco convencional.
acuacultura,Amazon_Nova_Micro_V1,0.586767852306366,0.5745092630386353,0.5805739164352417,Técnica empleada para el cultivo de especies vegetales y animales acuáticas.,Cultivo de organismos acuáticos en ambientes controlados.
acudiente,Amazon_Nova_Micro_V1,0.5863504409790039,0.5694500207901001,0.5777766704559326,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",Persona que cuida o asiste a un niño en lugar de sus padres.
acuerpado,Amazon_Nova_Micro_V1,0.5661165118217468,0.5868510007858276,0.5762973427772522,"Referido a una persona, grande, robusta.","Persona que está muy cansada, agotada o con poca energía."
aculillarse,Amazon_Nova_Micro_V1,0.586103618144989,0.5859788656234741,0.586041271686554,Atemorizarse o acobardarse alguien ante una situación.,Perderse o desorientarse en un lugar conocido.
acurrucarse,Amazon_Nova_Micro_V1,0.44109100103378296,0.4532560408115387,0.4470907747745514,Ponerse en posición de cuclillas.,"Sentir deseo de abrazarse y protegerse, generalmente por calor o comodidad."
acusaletas,Amazon_Nova_Micro_V1,0.5737433433532715,0.5906311273574829,0.5820647478103638,"Referido a una persona, que tiene por costumbre acusar a otros.",Persona que constantemente critica o encuentra fallas en otros.
acusetas,Amazon_Nova_Micro_V1,0.43039536476135254,0.41096317768096924,0.42045485973358154,"Referido a una persona, que tiene por costumbre acusar a otros.",Expresión que indica que alguien está exagerando o mintiendo.
acápite,Amazon_Nova_Micro_V1,0.6479568481445312,0.6499001979827881,0.6489270925521851,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.","Parte inicial de un texto, introducción o primer párrafo."
ademanoso,Amazon_Nova_Micro_V1,0.47410497069358826,0.45413827896118164,0.4639068841934204,"Referido a una persona, delicada por su excesiva compostura y esmero.",Persona que utiliza gestos exagerados para expresarse.
aeróbicos,Amazon_Nova_Micro_V1,0.5592313408851624,0.5495002269744873,0.5543230772018433,Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,Actividad física que mejora la resistencia y la capacidad cardiovascular.
afanar,Amazon_Nova_Micro_V1,0.4691035747528076,0.47308123111724854,0.47108399868011475,Preocuparse o angustiarse ante una situación.,Buscar o rebuscar algo con diligencia.
afiche,Amazon_Nova_Micro_V1,0.6933293342590332,0.6938779950141907,0.6936035752296448,"Cartel impreso con información, publicidad o contenidos decorativos.",Cartel publicitario o informativo pegado en lugares públicos.
afiebrado,Amazon_Nova_Micro_V1,0.6762281656265259,0.645736813545227,0.6606308221817017,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",Persona muy entusiasta o apasionada por algo.
afiebrarse,Amazon_Nova_Micro_V1,0.49910110235214233,0.6479722261428833,0.563876211643219,Tener fiebre.,Perder la razón o enloquecer por un problema o una situación.
afilado,Amazon_Nova_Micro_V1,0.5401990413665771,0.554444432258606,0.5472290515899658,"Referido a una persona, bien preparada para una prueba o examen.",Persona muy ingeniosa o que habla con gran perspicacia.
afilarse,Amazon_Nova_Micro_V1,0.6135302782058716,0.6564494371414185,0.6342645883560181,Prepararse para realizar adecuadamente una tarea.,Prepararse o ponerse en alerta para enfrentar una situación.
afirmativo,Amazon_Nova_Micro_V1,0.4782404899597168,0.4748937785625458,0.4765612483024597,"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",Respuesta que indica acuerdo o aceptación.
aflojachocho,Amazon_Nova_Micro_V1,0.42378902435302734,0.43154895305633545,0.42763379216194153,Bebida alcohólica que desinhibe el deseo sexual.,Persona que es muy floja y no se esfuerza por nada.
aforar,Amazon_Nova_Micro_V1,0.5884039402008057,0.555058479309082,0.5712449550628662,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",Medir o evaluar la capacidad o potencial de algo o alguien.
afrechero,Amazon_Nova_Micro_V1,0.3327101767063141,0.2927124798297882,0.3114323616027832,"Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.","Comportamiento de hacer algo sin necesidad, generando desorden o molestia."
afrijolar,Amazon_Nova_Micro_V1,0.38441044092178345,0.4761998951435089,0.4254101812839508,Propinar un golpe.,Perder la compostura o el control en un momento de emoción.
afro,Amazon_Nova_Micro_V1,0.46181708574295044,0.4655088484287262,0.46365562081336975,"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",Comportamiento o actitud despreocupada y desenfadada.
afugias,Amazon_Nova_Micro_V1,0.3724554777145386,0.3958311676979065,0.38378769159317017,"Apuros, problemas, especialmente económicos.",Expresión que indica no hacer nada o no moverse de un lugar.
agache,Amazon_Nova_Micro_V1,0.4549905061721802,0.4443078935146332,0.4495857357978821,Evadir con astucia un problema o un asunto pendiente.,Acción de bajar la cabeza o el cuerpo en señal de respeto o sumisión.
agalla,Amazon_Nova_Micro_V1,0.5614938735961914,0.5277636647224426,0.5441065430641174,Despertársele el afán de poseer más de algo o de adquirir riquezas.,Resistirse o enfrentar con valor y determinación una situación difícil.
agalludo,Amazon_Nova_Micro_V1,0.4869217872619629,0.5063703656196594,0.49645566940307617,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",Persona que se pasa de la raya o que hace cosas exageradas.
agapanto,Amazon_Nova_Micro_V1,0.38051170110702515,0.33099865913391113,0.35403239727020264,"Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.",Acción de rehuir responsabilidades o evitar cumplir con obligaciones.
agarrar,Amazon_Nova_Micro_V1,0.6164045929908752,0.5921843647956848,0.6040517687797546,"Obtener o conseguir algo, especialmente de manera veloz, ágil.",Tomar o agarrar algo con fuerza o decisión.
agarrón,Amazon_Nova_Micro_V1,0.6117920875549316,0.6142886281013489,0.6130378246307373,"Altercado, riña muy fuerte o pelea a golpes.","Conflicto o pelea física, especialmente en un contexto informal."
agonía,Amazon_Nova_Micro_V1,0.463210791349411,0.5144728422164917,0.48749789595603943,Hambre.,Estado de gran angustia o sufrimiento emocional.
agregado,Amazon_Nova_Micro_V1,0.3881603181362152,0.39954423904418945,0.3937700092792511,Persona encargada de administrar y vigilar una propiedad rural.,Un complemento o adición extra que se incorpora a algo.
agria,Amazon_Nova_Micro_V1,0.3437492251396179,0.44967329502105713,0.3896406590938568,Cerveza.,Persona que tiene actitudes o comportamientos hostiles y desagradables.
agrieras,Amazon_Nova_Micro_V1,0.37110549211502075,0.40831390023231506,0.3888215124607086,Acidez estomacal.,Expresión que indica una situación muy difícil o desesperada.
agringarse,Amazon_Nova_Micro_V1,0.4026545286178589,0.38236308097839355,0.3922465443611145,Adoptar los hábitos o el aspecto propios de un gringo.,Perder la paciencia o enojarse fácilmente por algo menor.
agrio,Amazon_Nova_Micro_V1,0.6366417407989502,0.6812720894813538,0.658201277256012,"Referido a una persona, de mal carácter.",Persona que es malhumorada o de trato difícil.
agripado,Amazon_Nova_Micro_V1,0.5932483673095703,0.5605797171592712,0.5764515399932861,"Referido a una persona, enferma de gripa.","Estar enfermo, especialmente con síntomas de resfriado."
agriparse,Amazon_Nova_Micro_V1,0.5963807702064514,0.5794814229011536,0.587809681892395,Contagiarse y padecer de la gripa.,Perder la paciencia o enojarse fácilmente.
agropecuario,Amazon_Nova_Micro_V1,0.4154373109340668,0.39268484711647034,0.4037407636642456,"Referido a una persona, que tiene gustos grotescos, ordinaria.",Relativo a la agricultura y la ganadería.
