palabra;significado;ejemplo;fuente
abajeño;Propio o nativo de las costas o de las tierras bajas.;Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago.;AcademiaColombianaLengua
abalear;Disparar a alguien o a algo de manera repetida con un arma de fuego.;El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.;AcademiaColombianaLengua
abaleo;Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.;Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía.;AcademiaColombianaLengua
abanicar;En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.;El bateador se ponchó abanicando el tercer lanzamiento.;AcademiaColombianaLengua
abanico;Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.;No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante.;AcademiaColombianaLengua
abarco;Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.;Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.;AcademiaColombianaLengua
abarrotes;Víveres de consumo diario.;El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos.;AcademiaColombianaLengua
abeja;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
abejorrear;Manosear lujuriosamente a alguien en público.;Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.;AcademiaColombianaLengua
abismante;Referido a alguien o a algo, que es sorprendente o muy notorio.;Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país.;AcademiaColombianaLengua
abombado;Referido a un alimento, que está descompuesto.;Juan no se comió la carne porque estaba abombada.;AcademiaColombianaLengua
abombao;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
aborrajado;Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.;El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.;AcademiaColombianaLengua
