modismo,ejemplo_real,Amazon_Nova_Micro_V1_sinonimo,Amazon_Nova_Micro_V1_ejemplo_con_sinonimo,Cohere_Command_R_08_2024_sinonimo,Cohere_Command_R_08_2024_ejemplo_con_sinonimo
abajeño,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago.",habitantes de cartago,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los habitantes de cartagos de Cartago.",habitante de abajo,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los habitante de abajos de Cartago."
abalear,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.,disparos,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue disparos.,disparar con armas,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue disparar con armas.
abaleo,Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía.,ruido fuerte,Por la calle doce se oía un tremendo ruido fuerte y al poco rato vimos llegar a la policía.,ruido fuerte,Por la calle doce se oía un tremendo ruido fuerte y al poco rato vimos llegar a la policía.
abanicar,El bateador se ponchó abanicando el tercer lanzamiento.,fallar al batear,El bateador se ponchó fallar al batear el tercer lanzamiento.,sacudir,El bateador se ponchó sacudir el tercer lanzamiento.
abanico,"No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante.",ventilador encendido,"No podía dormir la siesta de la tarde sin el ventilador encendido prendido, el calor era desesperante.",ventilador,"No podía dormir la siesta de la tarde sin el ventilador prendido, el calor era desesperante."
abarco,"Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",madera de ceiba,"Actualmente, la oferta de madera de madera de ceiba ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",madera,"Actualmente, la oferta de madera de madera ha disminuido, como consecuencia de la reducción de sus poblaciones naturales."
abarrotes,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos.",productos básicos,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, productos básicos, carnes y lácteos.",productos básicos,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, productos básicos, carnes y lácteos."
abeja,Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas.,persona organizada,Llegaste sin problemas al sitio: no contaban con que eres una persona organizada y que siempre cargas un mapa del lugar a donde vas.,persona informada,Llegaste sin problemas al sitio: no contaban con que eres una persona informada y que siempre cargas un mapa del lugar a donde vas.
abejorrear,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.,molestar repetidamente,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo molestar repetidamente.,molestiar,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo molestiar.
abismante,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país.",creciendo rápidamente,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera creciendo rápidamente en ese país.",sorprendentemente,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera sorprendentemente en ese país."
abombado,Juan no se comió la carne porque estaba abombada.,con exceso de gas,Juan no se comió la carne porque estaba con exceso de gas.,inchado,Juan no se comió la carne porque estaba inchado.
aborrajado,El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,guiso de aguacate,El guiso de aguacate es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,relleno,El relleno es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.
abotar,"Niña, abótese que la puede atropellar el carro.",detenerse,"Niña, detenerse que la puede atropellar el carro.",bendigase,"Niña, bendigase que la puede atropellar el carro."
abozao,El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.,danza folclórica,El grupo de Chocó bailó Voltea en ritmo de danza folclórica que es una danza folclórica del Pacífico colombiano.,de bambuko,El grupo de Chocó bailó Voltea en ritmo de de bambuko que es una danza folclórica del Pacífico colombiano.
abrebocas,"Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.",introducción atractiva,"Cine, arte y paz en 5 cortometrajes de introducción atractiva al festival Caleidoscopio de sueños.",entrada,"Cine, arte y paz en 5 cortometrajes de entrada al festival Caleidoscopio de sueños."
abrigar,Le voy a abrigar la arepita para que le sepa más rico.,agregar condimentos,Le voy a agregar condimentos la arepita para que le sepa más rico.,calentar,Le voy a calentar la arepita para que le sepa más rico.
abrirse,"No nos venga a engañar otra vez con sus cuentos, ábrase.",ser sincero,"No nos venga a engañar otra vez con sus cuentos, ser sincero.",ser sincero,"No nos venga a engañar otra vez con sus cuentos, ser sincero."
abrochar,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",ser reprendido,"Ponte a hacer la tarea, antes de que alguien llegue y te ser reprendido.",regañar,"Ponte a hacer la tarea, antes de que alguien llegue y te regañar."
abuelita,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.",silla plegable,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una silla plegable cómoda o un coche portátil tipo paraguas.",silla,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una silla cómoda o un coche portátil tipo paraguas."
abullonado,"Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.",sofá arrugado,"Mientras se acomoda en el sofá arrugado sofá, sufre un remezón sentimental enorme.",abollado,"Mientras se acomoda en el abollado sofá, sufre un remezón sentimental enorme."
aburria,Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.,pava negra montañosa,Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.,sensación de aburrimiento,Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.
aburrición,¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo.,monotonía,¡Qué monotonía! Siempre los mismos con lo mismo en lo mismo.,aburrimiento,¡Qué aburrimiento! Siempre los mismos con lo mismo en lo mismo.
acabado,"Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.",agotado físicamente,"Si bien se ve agotado físicamente físicamente, su voz está intacta. Su intervención duró casi siete horas.",agotado,"Si bien se ve agotado físicamente, su voz está intacta. Su intervención duró casi siete horas."
acabarropa,"Tronco acabarropa, no hizo nada y está pidiendo más plata.",pedir más dinero,"Tronco pedir más dinero, no hizo nada y está pidiendo más plata.",de manera descuidada,"Tronco de manera descuidada, no hizo nada y está pidiendo más plata."
acabose,El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas.,punto de no retorno,El restaurante dejaba mucho que desear pero el punto de no retorno fue cuando los meseros exigieron unas propinas exageradas.,el final,El restaurante dejaba mucho que desear pero el el final fue cuando los meseros exigieron unas propinas exageradas.
acartonado,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.,actuar rígido,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y actuar rígido.,rígido,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y rígido.
