modismo,Amazon_Nova_Micro_V1_sinonimo,Cohere_Command_R_08_2024_sinonimo
abajeño,habitantes de cartago,habitante de abajo
abalear,disparos,disparar con armas
abaleo,ruido fuerte,ruido fuerte
abanicar,fallar al batear,sacudir
abanico,ventilador encendido,ventilador
abarco,madera de ceiba,madera
abarrotes,productos básicos,productos básicos
abeja,persona organizada,persona informada
abejorrear,molestar repetidamente,molestiar
abismante,creciendo rápidamente,sorprendentemente
abombado,con exceso de gas,inchado
aborrajado,guiso de aguacate,relleno
abotar,detenerse,bendigase
abozao,danza folclórica,de bambuko
abrebocas,introducción atractiva,entrada
abrigar,agregar condimentos,calentar
abrirse,ser sincero,ser sincero
abrochar,ser reprendido,regañar
abuelita,silla plegable,silla
abullonado,sofá arrugado,abollado
aburria,pava negra montañosa,sensación de aburrimiento
aburrición,monotonía,aburrimiento
acabado,agotado físicamente,agotado
acabarropa,pedir más dinero,de manera descuidada
acabose,punto de no retorno,el final
acartonado,actuar rígido,rígido
acatar,reconocer la verdad,obedecer
accesar,entrar al sistema,entrar
aceite,amenazar,provocación
acelerado,decidido rápido,impulsiva
acelere,aumento rápido,prisa
acema,pan de centeno,bizcochuelo
achacado,enfermo,enfermo
achajuanado,cansado extremo,cansado
achantado,asustado,temeroso
achantar,asustar,amedrentar
achante,enojado,aburrido
achapado,pedir ir al baño,maleducado
achicar,bajar el agua,reducir
achicharrar,secarse y quemarse,quemar
achicopalado,sin ánimo,deprimida
achicopalar,no achicharrar,amedrentar
achilado,barbas cortas,encrespado
achilar,perder cabello,caer
achiote,árbol de achiote,planta
achiquitar,encoger,encoger
achira,hojas de achira,plátano
achucado,tos persistente,afectado
achucarse,tener un ataque,indispuesto
achín,papa china,papa china
aco,harina de linaza,bebida
acobalar,reparar rines,reparar
acolitar,apoyar actividades,apoyar
acomedirse,ayudar,ofrecerse
acondicionar,adaptar vehículos,adaptar
acordeonero,cantante de acordeón,intérprete de acordeón
acose,corre mucho,descuido
acosón,exigencia,exigente
acotejar,recopilar evidencia,reunir
acudiente,padre o madre,acompañante
acuerpado,corporeño,físicamente fuerte
aculillarse,echarse la bendición,arrodillarse
acurrucarse,esconderse cerca,abriéndose
acusaletas,delator,chivato
acusetas,acusar sin pruebas,sospechoso
acápite,párrafo,apartado
aeróbicos,ejercicios físicos,entrenamiento físico
afanar,estresarme,apresurarse
afiche,carta de fútbol,cartel
afiebrado,entusiasmado,entusiasmados
afiebrarse,tener fiebre,tener fiebre
afilado,respuestas precisas,bien preparados
afilarse,estudiar,prepararse
afirmativo,estoy de acuerdo,dando la orden
aflojachocho,cachaza suave,relax
aforar,pesar el equipaje,cotizar
afrijolar,golpear fuerte,golpear
afro,cultura afro,africano
afugias,sin problemas,dificultades
agache,omitieron,descuidado
agalla,impaciencia,atención
agalludo,muy decidido,valiente
agarrar,aprovechar oportunidad,aprovechar
agarrón,pelea pública,escándalo
agonía,gran hambre,dolor intestinal
agrieras,reflujo gastroesofágico,acidez estomacal
agringarse,perder acento,americanizarse
agrio,mala temperamento,amargada
agripado,tener resfriado,constipado
agropecuario,vestido inapropiado,rural
agua,nivel de agua,niveles del líquido
