"palabra","significado","ejemplo"
"a cabalidad","adecuadamente","el tra- bajo fue hecho a cabalidad"
"a juro","con terquedad o insistencia","a juro que tenía que hacerlo"
"a juro","a la fuerza, contra la voluntad de uno",""
"a lo bien","correctamente, bien, sin mala intención","ayúdeme, pero a lo bien"
"a lo que dé el tejo","al máximo","haremos la fiesta a lo que dé el tejo"
"a lo que dé el tejo","velozmente",""
"a mansalva","dicho de una agresión o ataque, a traición","los mataron a mansalva"
"a paz y salvo","se usa para expresar que no se tiene ninguna deuda",""
"a todo taco","dicho de una fiesta, reunión, ceremonia, etc , no ahorrar gasto alguno","del auto de fe pasamos al chocolate, servido aquella tarde a todo taco"
"abagó","selección de los mejores frutos de la cosecha de maíz, papa u otros productos agrícolas, con los que se suelen obsequiar a los amigos o a los cogedores","si yo supiera lo cierto/cuál jue el que te aconsejó,/te mandara tus maicitos,/ aparte del abagó"
"abalear","disparar balas sobre alguien o algo",""
"abalear","herir o matar a balazos",""
"abaleo","tiroteo","en el abaleo resultaron heridas tres personas"
"abanico","ventilador eléctrico","prende el abanico que hace mucho calor"
"abanico","utensilio rústico, hecho de fibras vegetales entretejidas que forman una pequeña superficie plana, con o sin mango",""
"abaniquear","darse aire con un abanico",""
"abarrotes","víveres",""
"abombado","que es ligeramente tonto",""
"abombado","dicho especialmente del agua, que despide mal olor",""
"abra","terreno desmontado listo para la siembra",""
"abra","hoja de una puerta o ventana",""
"abrirse","irse, apartarse de una persona o de varias","usted no es bienvenido. ¡ábrase"
"abrirse","deshacer una apuesta o negocio",""
"abrirse","iniciar la pelea los gallos o las personas","el gallo se abrió inmediatamente. si es tan gallo, ábrase"
"abuelita","cuna portátil para bebés, generalmente de tela, mimbre o material similar",""
"abuelita","calzado de tela, plano y cerrado, para usar en casa",""
"abullonado","recubierto con material blando",""
"acabarse por el fisto","extenuarse el hombre por abusos sexuales",""
"acatar","caer en la cuenta","por qué no pega un registrico en los corotos de mi comadre? yo estoy en que ella tenía sus rialitos [ .] –¡pues vea vusté que no habíamos acatao!– contestó el interpelado"
"acelere","precipitud con que se hace algo","deje el acelere"
"achajuanado","dicho de una persona o animal, fatigado por el calor",""
"achicopalado","abatido, desanimado","estaban achicopalados porque perdieron el partido de fútbol"
"achicopalar","abatir el orgullo o altivez de una persona haciéndole sentir la propia superioridad o fuerza","la achicopalaron con tantas críticas"
"achiquitar","achicar, empequeñecer",""
"achira","especie de pan dulce pequeño, hecho de la planta del mismo nombre",""
"achucutarse","acurrucarse",""
"achucutarse","acobardarse, sentir miedo",""
