modismo,amazon_nova_micro_v1,cohere_command_r_08_2024
abajeño,"{""prompt_id"":""P2"",""input"":""abajeño"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abajeño"",""output"":{""es_modismo"":""Sí""}}"
abalear,"{""prompt_id"":""P2"",""input"":""abalear"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abalear"",""output"":{""es_modismo"":""No""}}"
abaleo,"{""prompt_id"":""P2"",""input"":""abaleo"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abaleo"",""output"":{""es_modismo"":""Sí""}}"
abanicar,"{""prompt_id"":""P2"",""input"":""abanicar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abanicar"",""output"":{""es_modismo"":""Sí""}}"
abanico,"{""prompt_id"":""P2"",""input"":""abanico"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abanico"",""output"":{""es_modismo"":""Sí""}}"
abarco,"{""prompt_id"":""P2"",""input"":""abarco"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abarco"",""output"":{""es_modismo"":""Sí""}}"
abarrotes,"{""prompt_id"":""P2"",""input"":""abarrotes"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""abarrotes"",""output"":{""es_modismo"":""No""}}"
abeja,"{""prompt_id"":""P2"",""input"":""abeja"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abeja"",""output"":{""es_modismo"":""No""}}"
abejorrear,"{""prompt_id"":""P2"",""input"":""abejorrear"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abejorrear"",""output"":{""es_modismo"":""Sí""}}"
abismante,"{""prompt_id"":""P2"",""input"":""abismante"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abismante"",""output"":{""es_modismo"":""No""}}"
