definicion,modismo_real,Amazon_Nova_Micro_V1,Cohere_Command_R_08_2024
Propio o nativo de las costas o de las tierras bajas.,abajeño,costeño,de la costa
Disparar a alguien o a algo de manera repetida con un arma de fuego.,abalear,disparos al aire,darle plomo
Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,abaleo,balacera,balacera
"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",abanicar,dar un ponche,darle a la pelota
Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,abanico,ventilador,ventilador
"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.",abarco,guadua,árbol de chocolo
Víveres de consumo diario.,abarrotes,mercadeo,alimentos básicos
Ser hábil o astuto para salir bien librado de situaciones complicadas.,abeja,saberse las vueltas,ir de listo
Manosear lujuriosamente a alguien en público.,abejorrear,pasársela tocando,cascar a alguien
"Referido a alguien o a algo, que es sorprendente o muy notorio.",abismante,dar que hablar,llamar la atención
"Referido a un alimento, que está descompuesto.",abombado,pudoroso,pasar de noche
"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.",aborrajado,arepa de queso,cukrao e' queso
Ubicarse alguien o algo en la orilla del río o la acera.,abotar,estar en la orilla,quedar en echo
Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,abozao,cumbia,baile del tubo
Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,abrebocas,tiradera,dar una probadita
Calentar los alimentos en la estufa.,abrigar,calentar la comida,poner a fuego lento
Irse de un lugar.,abrirse,salir de onda,dar papaya
Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,abrochar,darle la lata,meter presión
Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,abuelita,cuna de viaje,cuna viajera
"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",abullonado,relleno de pluma,relleno con guata
"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",aburria,cigüeña,
Cosa o situación que produce pereza o falta de interés.,aburrición,cosa de vago,dar lata
"Referido a una persona, con aspecto débil y enfermizo.",acabado,papear, puro pellejo
"Referido a una persona, holgazán.",acabarropa,vago de la vida,malo para el libro
Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,acabose,tocar fondo,toque de queda
"Referido a una persona, poco natural en su comportamiento, esquemática.",acartonado,raro como rana,está actuando
Caer en cuenta de algo.,acatar,darle en la nariz,darse cuenta
Tener acceso a los datos de un sistema informático.,accesar,entrar al sistema,entrar al tubo
Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,aceite,tirar la casa por la ventana,poner a prueba
"Referido a una persona, que actúa con precipitud, impaciencia.",acelerado,correr como loco,meterse en problemas
Afán o rapidez exagerada con que se hace algo.,acelere,hacerlo a toda marcha,correrse a mil
"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.",acema,pan de coco,pan de queso
"Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.",acerola,maracuyá,frijolito brasileño
"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",achacado,vejez de palo,está achacoso
"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",achajuanado,estar como un toro,lomo cocido
"Depresión, abatimiento.",achantada,ponerse malito,estar langostin
"Referdio a una persona, triste, desencantado.",achantado,tirar la onda,con el culo pa' bajo
Desalentar o hacer perder el ánimo.,achantar,dar la lata,bajar los ánimos
