modismo,amazon_nova-micro-v1
abajeño,"{""prompt_id"": ""P1"", ""input"": ""Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago."", ""output"": {""definicion"": ""Actividades de producción ilegal de tabaco y aguardiente en Colombia.""}}"
abalear,"{""prompt_id"": ""P1"", ""input"": ""El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado."", ""output"": {""definicion"": ""Un funcionario público sobrevivió a un ataque armado contra el avión en el que viajaba sin sufrir lesiones.""}}"
abaleo,"{""prompt_id"": ""P1"", ""input"": ""Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía."", ""output"": {""definicion"": ""Se refería a que en la calle doce se escuchaba un fuerte ruido y confusión, probablemente debido a una riña o altercado, y la policía llegó poco después.""}}"
abanicar,"{""prompt_id"": ""P1"", ""input"": ""El bateador se ponchó abanicando el tercer lanzamiento."", ""output"": {""definicion"": ""En béisbol, el bateador se ponchó cuando golpeó el tercer lanzamiento y no pudo conectarlo.""}}"
abanico,"{""prompt_id"": ""P1"", ""input"": ""No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante."", ""output"": {""definicion"": ""Expresión que describe la dificultad para descansar debido al calor excesivo.""}}"
abarco,"{""prompt_id"": ""P1"", ""input"": ""Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales."", ""output"": {""definicion"": ""Cantidad disponible de madera de árbol de abarco en el mercado.""}}"
abarrotes,"{""prompt_id"": ""P1"", ""input"": ""El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos."", ""output"": {""definicion"": ""Un mercado al aire libre en Bogotá, Colombia, donde se venden productos frescos y artesanales.""}}"
abeja,"{""prompt_id"": ""P1"", ""input"": ""Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas."", ""output"": {""definicion"": ""Una persona que siempre está bien informada y organizada.""}}"
abejorrear,"{""prompt_id"": ""P1"", ""input"": ""Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen."", ""output"": {""definicion"": ""Ser acosado o asaltado por personas en los autobuses.""}}"
abismante,"{""prompt_id"": ""P1"", ""input"": ""Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país."", ""output"": {""definicion"": ""Frase utilizada para introducir una reflexión o justificación, a menudo para enfatizar la validez de una situación o acción.""}}"
abombado,"{""prompt_id"": ""P1"", ""input"": ""Juan no se comió la carne porque estaba abombada."", ""output"": {""definicion"": ""La carne estaba en mal estado debido a una alteración en su empaque, posiblemente indicando deterioro.""}}"
