modismo,es_modismo_real,Amazon_Nova_Micro_V1,Cohere_Command_R_08_2024
abajeño,Sí,No,Sí
abalear,Sí,No,No
abaleo,Sí,No,Sí
abanicar,Sí,No,Sí
abanico,Sí,No,Sí
abarco,Sí,No,Sí
abarrotes,Sí,Sí,No
abeja,Sí,No,No
abejorrear,Sí,No,Sí
abismante,Sí,No,No
abombado,Sí,No,No
aborrajado,Sí,No,Sí
abotar,Sí,No,Sí
abozao,Sí,No,Sí
abrebocas,Sí,Sí,Sí
abrigar,Sí,No,Sí
abrirse,Sí,No,Sí
abrochar,Sí,No,No
abuelita,Sí,No,No
abullonado,Sí,No,No
aburria,Sí,No,Sí
aburrición,Sí,No,Sí
acabado,Sí,No,No
acabarropa,Sí,No,Sí
acabose,Sí,Sí,Sí
acartonado,Sí,No,No
acatar,Sí,No,No
accesar,Sí,No,No
aceite,Sí,No,No
acelerado,Sí,No,Sí
acelere,Sí,No,Sí
acema,Sí,No,Sí
acerola,Sí,No,No
achacado,Sí,Sí,Sí
achajuanado,Sí,No,Sí
achantada,Sí,No,Sí
achantado,Sí,Sí,Sí
achantar,Sí,Sí,Sí
achante,Sí,No,Sí
achapado,Sí,No,Sí
achicar,Sí,No,No
achicharrar,Sí,Sí,No
achicopalado,Sí,No,Sí
achicopalar,Sí,No,Sí
achilado,Sí,No,Sí
achilar,Sí,No,Sí
achiote,Sí,No,No
achiquitar,Sí,Sí,Sí
achira,Sí,No,No
achucado,Sí,Sí,Sí
achucarse,Sí,No,Sí
achín,Sí,No,No
aco,Sí,No,Sí
acobalar,Sí,No,No
acolitar,Sí,No,Sí
acomedirse,Sí,No,Sí
acondicionar,Sí,No,Sí
acordeonero,Sí,No,Sí
acose,Sí,No,No
acosón,Sí,No,Sí
acotejar,Sí,No,Sí
acuacultura,Sí,No,No
acudiente,Sí,No,Sí
acuerpado,Sí,No,Sí
aculillarse,Sí,No,Sí
acurrucarse,Sí,No,Sí
acusaletas,Sí,No,No
acusetas,Sí,No,Sí
acápite,Sí,No,No
ademanoso,Sí,No,Sí
aeróbicos,Sí,No,No
afanar,Sí,No,Sí
afiche,Sí,No,No
afiebrado,Sí,No,No
afiebrarse,Sí,No,Sí
afilado,Sí,No,Sí
afilarse,Sí,Sí,No
afirmativo,Sí,No,No
aflojachocho,Sí,No,No
aforar,Sí,No,Sí
afrechero,Sí,No,Sí
afrijolar,Sí,Sí,Sí
afro,Sí,No,No
afugias,Sí,No,Sí
agache,Sí,No,Sí
agalla,Sí,No,No
agalludo,Sí,No,No
agapanto,Sí,No,Sí
agarrar,Sí,No,No
agarrón,Sí,Sí,Sí
agonía,Sí,No,No
agregado,Sí,No,Sí
agria,Sí,No,No
agrieras,Sí,No,No
agringarse,Sí,No,Sí
agrio,Sí,No,Sí
agripado,Sí,No,Sí
agriparse,Sí,No,Sí
agropecuario,Sí,No,No
agua,Sí,No,No
