modismo,definicion_real,Amazon_Nova_Micro_V1_definicion_sinonimo,Cohere_Command_R_08_2024_definicion_sinonimo
abajeño,Propio o nativo de las costas o de las tierras bajas.,"Personas que viven en la ciudad de cartago, departamento del valle del cauca.",Persona que vive en las zonas bajas de una ciudad o región.
abalear,Disparar a alguien o a algo de manera repetida con un arma de fuego.,Acción de disparar armas de fuego hacia un objetivo.,Accionar armas de fuego en dirección a un objeto o persona.
abaleo,Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,Sonido intenso y desordenado.,"Sonido potente y resonante, a menudo causado por un impacto o alteración"
abanicar,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",No conectar con el lanzamiento del lanzador al intentar golpear con el bate.,Mover el bate adelante y atrás de manera vigorosa.
abanico,Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,Dispositivo que ayuda a circular el aire para refrescar un espacio.,Dispositivo utilizado para circular aire y enfriar un ambiente.
abarco,"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.","Madera obtenida del árbol ceiba, que ha disminuido debido a su deforestación.","Material obtenido de árboles, utilizado para construcción."
abarrotes,Víveres de consumo diario.,Artículos de primera necesidad como alimentos y suministros cotidianos.,"Productos esenciales de consumo diario, como alimentos y provisiones."
abeja,Ser hábil o astuto para salir bien librado de situaciones complicadas.,Individuo que siempre prepara y conoce detalladamente su camino o plan.,Alguien que posee conocimientos precisos y detallados sobre un lugar o situación.
abejorrear,Manosear lujuriosamente a alguien en público.,Acosar o incomodar a alguien de manera persistente.,Acosar persistentemente a alguien de forma física o verbal.
abismante,"Referido a alguien o a algo, que es sorprendente o muy notorio.",Aumento muy acelerado y significativo en el poder adquisitivo.,"De forma inesperada, admirable o significativa."
abombado,"Referido a un alimento, que está descompuesto.",Contenido con burbujas de gas que lo hacen sobresalir o hinchar.,Descriptivo de un objeto o materia que ha aumentado de tamaño.
aborrajado,"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.","Plato preparado con aguacate, carne y otros ingredientes, típico de la región vallecaucana.",Alimento que se prepara con algo relleno o con un agregado
abotar,Ubicarse alguien o algo en la orilla del río o la acera.,Parar de inmediato para evitar un peligro.,Hacer una petición formal de bendición o protección.
abozao,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,Una forma tradicional de baile originario del Pacífico colombiano.,Es una descripción musical de ritmo.
abrebocas,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,Comienzo o presentación que atrae y prepara para lo que sigue.,"Contiene algo al inicio, actúa como apertura o comienzo de algo."
