modismo,definicion_real,Amazon_Nova_Micro_V1,Cohere_Command_R_08_2024
abajeño,Propio o nativo de las costas o de las tierras bajas.,"Persona originaria de la región de Bajo Cauca, Antioquia.",Persona o origen de la parte sur del país.
abalear,Disparar a alguien o a algo de manera repetida con un arma de fuego.,Insistir en algo de manera insistente y a veces molesta.,"Casualmente, pegar o decir algo algo que asusta o sorprende."
abaleo,Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,Acción de moverse o balancearse de forma exagerada.,Acción de apunar o herir con una bala.
abanicar,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",Influir o convencer a alguien para que tome una determinada acción.,"Mover un objeto, como un abanico, para generar efecto."
abanico,Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,Modismo que indica una situación muy complicada o difícil de resolver.,Instrumento plano y móvil que se mueve para refrescar.
abarco,"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.",Incluir o abarcar una situación completa o todos los aspectos.,Abordar o abarcar un tema o idea amplia.
abarrotes,Víveres de consumo diario.,Tiendas pequeñas que venden alimentos y artículos de primera necesidad.,Productos vendibles en tiendas de comestibles.
abeja,Ser hábil o astuto para salir bien librado de situaciones complicadas.,"Persona que trabaja incansablemente, como una abeja.",Insecto volador de color amarillo y negro con aguijón venenoso.
abejorrear,Manosear lujuriosamente a alguien en público.,"Comportarse en forma molesta o fastidiosa, como una abeja.","Acoso, seguimiento insistente a una persona con propuestas."
abismante,"Referido a alguien o a algo, que es sorprendente o muy notorio.",Sorprende o deja boquiabierto por su magnitud o extrañeza.,"Impresionante, sorprendente, de impacto."
abombado,"Referido a un alimento, que está descompuesto.","Tener algo excesivamente grande o prominente, usualmente en referencia a la ropa.",Personas o cosas infladas o abultadas.
aborrajado,"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.",Persona que está muy cansada o agotada.,"Estar lleno, repleto o sobrecargado de algo."
abotar,Ubicarse alguien o algo en la orilla del río o la acera.,Terminar en una situación sin salida o fracasar en un intento.,Ingerir o tomar bebidas alcohólicas en exceso.
abozao,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,"Persona que tiene demasiada confianza en sus habilidades, a veces exagerada.",Adjetivo para referirse a una persona impaciente o apurada.
abrebocas,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,Comienzo o introducción que prepara para algo más importante.,Apartir que prepara o presenta un evento.
abrigar,Calentar los alimentos en la estufa.,Cubrir o proteger a alguien o algo para mantenerlo caliente.,Proteger o abrigar del frío o del peligro.
abrirse,Irse de un lugar.,Comenzar a participar o involucrarse en algo nuevo.,Abandonar posiciones defensivas y asumir una postura más vulnerable.
abrochar,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,"Terminar o concluir algo definitivamente, como si se abrochara un botón.",Acordar algo o resolver una situación rápidamente.
abuelita,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,"Término cariñoso para referirse a una persona mayor, especialmente una mujer.","Mujer mayor, generalmente matriarca de una familia."
abullonado,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",Persona que está muy ocupada o ajetreada.,Perder la capacidad de reacción rápidamente.
