modismo;significado;ejemplo;fuente
abajeño;Propio o nativo de las costas o de las tierras bajas.;Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago.;DICOL
abalear;Disparar a alguien o a algo de manera repetida con un arma de fuego.;El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.;DICOL
abaleo;Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.;Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía.;DICOL
abanicar;En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.;El bateador se ponchó abanicando el tercer lanzamiento.;DICOL
abanico;Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.;No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante.;DICOL
abarco;Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.;Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.;DICOL
abarrotes;Víveres de consumo diario.;El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos.;DICOL
abeja;Ser hábil o astuto para salir bien librado de situaciones complicadas.;Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas.;DICOL
abejorrear;Manosear lujuriosamente a alguien en público.;Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.;DICOL
abismante;Referido a alguien o a algo, que es sorprendente o muy notorio.;Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país.;DICOL
abombado;Referido a un alimento, que está descompuesto.;Juan no se comió la carne porque estaba abombada.;DICOL
aborrajado;Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.;El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.;DICOL
abotar;Ubicarse alguien o algo en la orilla del río o la acera.;Niña, abótese que la puede atropellar el carro.;DICOL
abozao;Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.;El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.;DICOL
