modismo,modelo,respuesta_real,respuesta_generada,correcto
abajeño,Amazon_Nova_Micro_V1,Sí,No,False
abalear,Amazon_Nova_Micro_V1,Sí,No,False
abaleo,Amazon_Nova_Micro_V1,Sí,No,False
abanicar,Amazon_Nova_Micro_V1,Sí,No,False
abanico,Amazon_Nova_Micro_V1,Sí,No,False
abarco,Amazon_Nova_Micro_V1,Sí,No,False
abarrotes,Amazon_Nova_Micro_V1,Sí,Sí,True
abeja,Amazon_Nova_Micro_V1,Sí,No,False
abejorrear,Amazon_Nova_Micro_V1,Sí,No,False
abismante,Amazon_Nova_Micro_V1,Sí,No,False
abombado,Amazon_Nova_Micro_V1,Sí,No,False
aborrajado,Amazon_Nova_Micro_V1,Sí,No,False
abotar,Amazon_Nova_Micro_V1,Sí,No,False
abozao,Amazon_Nova_Micro_V1,Sí,No,False
abrebocas,Amazon_Nova_Micro_V1,Sí,Sí,True
abrigar,Amazon_Nova_Micro_V1,Sí,No,False
abrirse,Amazon_Nova_Micro_V1,Sí,No,False
abrochar,Amazon_Nova_Micro_V1,Sí,No,False
abuelita,Amazon_Nova_Micro_V1,Sí,No,False
abullonado,Amazon_Nova_Micro_V1,Sí,No,False
aburria,Amazon_Nova_Micro_V1,Sí,No,False
aburrición,Amazon_Nova_Micro_V1,Sí,No,False
acabado,Amazon_Nova_Micro_V1,Sí,No,False
acabarropa,Amazon_Nova_Micro_V1,Sí,No,False
acabose,Amazon_Nova_Micro_V1,Sí,Sí,True
acartonado,Amazon_Nova_Micro_V1,Sí,No,False
acatar,Amazon_Nova_Micro_V1,Sí,No,False
accesar,Amazon_Nova_Micro_V1,Sí,No,False
aceite,Amazon_Nova_Micro_V1,Sí,No,False
acelerado,Amazon_Nova_Micro_V1,Sí,No,False
acelere,Amazon_Nova_Micro_V1,Sí,No,False
acema,Amazon_Nova_Micro_V1,Sí,No,False
acerola,Amazon_Nova_Micro_V1,Sí,No,False
achacado,Amazon_Nova_Micro_V1,Sí,Sí,True
achajuanado,Amazon_Nova_Micro_V1,Sí,No,False
achantada,Amazon_Nova_Micro_V1,Sí,No,False
achantado,Amazon_Nova_Micro_V1,Sí,Sí,True
achantar,Amazon_Nova_Micro_V1,Sí,Sí,True
achante,Amazon_Nova_Micro_V1,Sí,No,False
achapado,Amazon_Nova_Micro_V1,Sí,No,False
achicar,Amazon_Nova_Micro_V1,Sí,No,False
achicharrar,Amazon_Nova_Micro_V1,Sí,Sí,True
achicopalado,Amazon_Nova_Micro_V1,Sí,No,False
achicopalar,Amazon_Nova_Micro_V1,Sí,No,False
achilado,Amazon_Nova_Micro_V1,Sí,No,False
achilar,Amazon_Nova_Micro_V1,Sí,No,False
achiote,Amazon_Nova_Micro_V1,Sí,No,False
achiquitar,Amazon_Nova_Micro_V1,Sí,Sí,True
achira,Amazon_Nova_Micro_V1,Sí,No,False
achucado,Amazon_Nova_Micro_V1,Sí,Sí,True
achucarse,Amazon_Nova_Micro_V1,Sí,No,False
achín,Amazon_Nova_Micro_V1,Sí,No,False
aco,Amazon_Nova_Micro_V1,Sí,No,False
acobalar,Amazon_Nova_Micro_V1,Sí,No,False
acolitar,Amazon_Nova_Micro_V1,Sí,No,False
acomedirse,Amazon_Nova_Micro_V1,Sí,No,False
acondicionar,Amazon_Nova_Micro_V1,Sí,No,False
acordeonero,Amazon_Nova_Micro_V1,Sí,No,False
acose,Amazon_Nova_Micro_V1,Sí,No,False
acosón,Amazon_Nova_Micro_V1,Sí,No,False
acotejar,Amazon_Nova_Micro_V1,Sí,No,False
acuacultura,Amazon_Nova_Micro_V1,Sí,No,False
acudiente,Amazon_Nova_Micro_V1,Sí,No,False
acuerpado,Amazon_Nova_Micro_V1,Sí,No,False
aculillarse,Amazon_Nova_Micro_V1,Sí,No,False
acurrucarse,Amazon_Nova_Micro_V1,Sí,No,False
acusaletas,Amazon_Nova_Micro_V1,Sí,No,False
acusetas,Amazon_Nova_Micro_V1,Sí,No,False
acápite,Amazon_Nova_Micro_V1,Sí,No,False
ademanoso,Amazon_Nova_Micro_V1,Sí,No,False
aeróbicos,Amazon_Nova_Micro_V1,Sí,No,False
afanar,Amazon_Nova_Micro_V1,Sí,No,False
afiche,Amazon_Nova_Micro_V1,Sí,No,False
afiebrado,Amazon_Nova_Micro_V1,Sí,No,False
afiebrarse,Amazon_Nova_Micro_V1,Sí,No,False
afilado,Amazon_Nova_Micro_V1,Sí,No,False
afilarse,Amazon_Nova_Micro_V1,Sí,Sí,True
afirmativo,Amazon_Nova_Micro_V1,Sí,No,False
aflojachocho,Amazon_Nova_Micro_V1,Sí,No,False
aforar,Amazon_Nova_Micro_V1,Sí,No,False
afrechero,Amazon_Nova_Micro_V1,Sí,No,False
afrijolar,Amazon_Nova_Micro_V1,Sí,Sí,True
afro,Amazon_Nova_Micro_V1,Sí,No,False
afugias,Amazon_Nova_Micro_V1,Sí,No,False
agache,Amazon_Nova_Micro_V1,Sí,No,False
agalla,Amazon_Nova_Micro_V1,Sí,No,False
agalludo,Amazon_Nova_Micro_V1,Sí,No,False
agapanto,Amazon_Nova_Micro_V1,Sí,No,False
agarrar,Amazon_Nova_Micro_V1,Sí,No,False
agarrón,Amazon_Nova_Micro_V1,Sí,Sí,True
agonía,Amazon_Nova_Micro_V1,Sí,No,False
agregado,Amazon_Nova_Micro_V1,Sí,No,False
agria,Amazon_Nova_Micro_V1,Sí,No,False
agrieras,Amazon_Nova_Micro_V1,Sí,No,False
agringarse,Amazon_Nova_Micro_V1,Sí,No,False
agrio,Amazon_Nova_Micro_V1,Sí,No,False
agripado,Amazon_Nova_Micro_V1,Sí,No,False
agriparse,Amazon_Nova_Micro_V1,Sí,No,False
agropecuario,Amazon_Nova_Micro_V1,Sí,No,False
agua,Amazon_Nova_Micro_V1,Sí,No,False
abajeño,Cohere_Command_R_08_2024,Sí,Sí,True
abalear,Cohere_Command_R_08_2024,Sí,No,False
abaleo,Cohere_Command_R_08_2024,Sí,Sí,True
abanicar,Cohere_Command_R_08_2024,Sí,Sí,True
abanico,Cohere_Command_R_08_2024,Sí,Sí,True
abarco,Cohere_Command_R_08_2024,Sí,Sí,True
abarrotes,Cohere_Command_R_08_2024,Sí,No,False
abeja,Cohere_Command_R_08_2024,Sí,No,False
abejorrear,Cohere_Command_R_08_2024,Sí,Sí,True
abismante,Cohere_Command_R_08_2024,Sí,No,False
abombado,Cohere_Command_R_08_2024,Sí,No,False
aborrajado,Cohere_Command_R_08_2024,Sí,Sí,True
abotar,Cohere_Command_R_08_2024,Sí,Sí,True
abozao,Cohere_Command_R_08_2024,Sí,Sí,True
abrebocas,Cohere_Command_R_08_2024,Sí,Sí,True
abrigar,Cohere_Command_R_08_2024,Sí,Sí,True
abrirse,Cohere_Command_R_08_2024,Sí,Sí,True
abrochar,Cohere_Command_R_08_2024,Sí,No,False
abuelita,Cohere_Command_R_08_2024,Sí,No,False
abullonado,Cohere_Command_R_08_2024,Sí,No,False
aburria,Cohere_Command_R_08_2024,Sí,Sí,True
aburrición,Cohere_Command_R_08_2024,Sí,Sí,True
acabado,Cohere_Command_R_08_2024,Sí,No,False
acabarropa,Cohere_Command_R_08_2024,Sí,Sí,True
acabose,Cohere_Command_R_08_2024,Sí,Sí,True
acartonado,Cohere_Command_R_08_2024,Sí,No,False
acatar,Cohere_Command_R_08_2024,Sí,No,False
accesar,Cohere_Command_R_08_2024,Sí,No,False
aceite,Cohere_Command_R_08_2024,Sí,No,False
acelerado,Cohere_Command_R_08_2024,Sí,Sí,True
acelere,Cohere_Command_R_08_2024,Sí,Sí,True
acema,Cohere_Command_R_08_2024,Sí,Sí,True
acerola,Cohere_Command_R_08_2024,Sí,No,False
achacado,Cohere_Command_R_08_2024,Sí,Sí,True
achajuanado,Cohere_Command_R_08_2024,Sí,Sí,True
achantada,Cohere_Command_R_08_2024,Sí,Sí,True
achantado,Cohere_Command_R_08_2024,Sí,Sí,True
achantar,Cohere_Command_R_08_2024,Sí,Sí,True
achante,Cohere_Command_R_08_2024,Sí,Sí,True
achapado,Cohere_Command_R_08_2024,Sí,Sí,True
achicar,Cohere_Command_R_08_2024,Sí,No,False
achicharrar,Cohere_Command_R_08_2024,Sí,No,False
achicopalado,Cohere_Command_R_08_2024,Sí,Sí,True
